date,amount,merchant,category,account
2025-11-01,3000,Employer,Income,Checking
2025-11-03,-1500,Landlord,Rent,Checking
2025-11-05,-120,SuperMart,Groceries,Checking
2025-11-07,-80,Netflix,Subscriptions,Checking
2025-11-10,-200,Various,Dining,Checking
2025-11-15,-150,Amazon,Shopping,Checking
2025-11-20,-60,Uber,Rideshare,Checking
2025-12-01,3000,Employer,Income,Checking
2025-12-03,-1500,Landlord,Rent,Checking
2025-12-05,-130,SuperMart,Groceries,Checking
2025-12-07,-80,Netflix,Subscriptions,Checking
2025-12-10,-220,Various,Dining,Checking
2025-12-15,-200,Amazon,Shopping,Checking
2025-12-20,-50,Uber,Rideshare,Checking
2026-01-01,3000,Employer,Income,Checking
2026-01-03,-1500,Landlord,Rent,Checking
2026-01-05,-125,SuperMart,Groceries,Checking
2026-01-07,-80,Netflix,Subscriptions,Checking
2026-01-10,-210,Various,Dining,Checking
2026-01-15,-180,Amazon,Shopping,Checking
2026-01-20,-55,Uber,Rideshare,Checking
